<wikicategory_1990s_drama_films>,1990s drama film,Cinema & TV,1387
<wikicategory_20th-century_actors>,20th-century actor,Cinema & TV,667
<wikicategory_21st-century_actors>,21st-century actor,Cinema & TV,532
<wikicategory_American_criminal_comedy_films>,American criminal comedy film,Cinema & TV,127
<wikicategory_American_film_directors>,American film director,Cinema & TV,3773
<wikicategory_Australian_soap_opera_actors>,Australian soap opera actor,Cinema & TV,174
<wikicategory_Canadian_film_actors>,Canadian film actor,Cinema & TV,1751
<wikicategory_Star_Trek:_Enterprise_characters>,Character in Star Trek: Enterprise,Cinema & TV,17
<wikicategory_2000s_crime_films>,Crime film from the 2000s,Cinema & TV,285
<wikicategory_2000s_drama_films>,Drama film from the 2000s ,Cinema & TV,2237
<wikicategory_English_film_actors>,English film actor,Cinema & TV,3470
<wikicategory_Films_directed_by_Quentin_Tarantino>,Film directed by Quentin Tarantino,Cinema & TV,11
<wikicategory_Films_directed_by_Steven_Spielberg>,Film directed by Steven Spielberg,Cinema & TV,21
<wikicategory_Films_directed_by_the_Coen_brothers>,Film directed by the Coen Brothers,Cinema & TV,15
<wikicategory_Films_directed_by_Ridley_Scott>,Film directed by Ridley Scott,Cinema & TV,17
<wikicategory_Films_directed_by_Tim_Burton>,Film directed by Tim Burton,Cinema & TV,12
<wikicategory_MTV_cartoons>,MTV cartoon,Cinema & TV,17
<wikicategory_HBO_network_shows>,HBO network show,Cinema & TV,101
<wikicategory_Lesbian-related_films>,Lesbian-related film,Cinema & TV,249
<wikicategory_Psychological_thriller_films>,Psychological thriller film,Cinema & TV,524
<wikicategory_Serial_killer_films>,Film about serial killer,Cinema & TV,306
<wikicategory_Spaghetti_Western_actors>,Spaghetti Western actor,Cinema & TV,138
<wikicategory_Space_adventure_films>,Film about space adventure,Cinema & TV,156
<wikicategory_War_epic_films>,War epic film,Cinema & TV,48
<wikicategory_Characters_in_The_Lord_of_the_Rings>,Character in The Lord of the Rings,general knowladge,48
<wikicategory_Characters_created_by_Stan_Lee>,Character that was created by Stan Lee,general knowladge,285
<wikicategory_Fictional_characters_who_can_turn_invisible>,Fictional character who can turn invisible,general knowladge,57
<wikicategory_Constellations>,Constellation (astronomy),general knowladge,94
<wikicategory_Computer_security_software_companies>,Computer security software company,general knowladge,75
<wikicategory_Filename_extensions>,Filename extension,general knowladge,182
<wikicategory_Mythological_places>,Mythological place,general knowladge,34
<wikicategory_Broadway_musicals>,Broadway musical,general knowladge,661
<wikicategory_Fashion_magazines>,Fashion magazine,general knowladge,100
<wikicategory_Mythological_kings>,Mythological king,general knowladge,231
<wikicategory_Hebrew_Bible_people>,Character from the Hebrew Bible,general knowladge,305
<wikicategory_Jewish_ritual_objects>,Jewish ritual object,general knowladge,12
<wordnet_programming_language_106898352>,Programming language,general knowladge,428
<wikicategory_Port_cities_and_towns_of_the_Persian_Gulf>,Town of the Persian Gulf,geography,30
<wikicategory_University_towns>,University town,geography,30
<wikicategory_African_countries>,African country,geography,53
<wikicategory_Capitals_in_Africa>,Capital in Africa,geography,60
<wikicategory_Capitals_in_Asia>,Capital in Asia,geography,50
<wikicategory_Capitals_in_Europe>,Capital in Europe,geography,56
<wikicategory_Capitals_in_North_America>,Capital in North America,geography,31
<wikicategory_Capitals_in_South_America>,Capital in South America,geography,13
<wikicategory_Central_Asian_countries>,Central Asian country,geography,9
<wikicategory_Countries_of_the_Mediterranean_Sea>,Country of the Mediterranean Sea,geography,19
<wikicategory_East_Asian_countries>,East Asian country,geography,7
<wikicategory_Countries_bordering_the_Atlantic_Ocean>,Country on the borders of the Atlantic Ocean,geography,44
<wikicategory_European_countries>,European country,geography,50
<wikicategory_European_Union_member_economies>,European Union member economy,geography,29
<wikicategory_Archaeological_sites_in_Iraq>,An archaeological site in Iraq,geography,71
<wikicategory_Islamic_holy_places>,Holy place in Islam,geography,14
<wikicategory_Holy_cities>,Holy city,geography,70
<wikicategory_Cities_in_the_Netherlands>,City in the Netherlands,geography,114
<wikicategory_Mediterranean_port_cities_and_towns_in_Italy>,Mediterranean port city in Italy,geography,27
<wikicategory_Neighbourhoods_of_Barcelona>,Neighbourhood in Barcelona,geography,75
<wikicategory_European_seas>,European sea,geography,15
<wikicategory_Member_states_of_the_United_Nations>,Member state of the United Nations,geography,186
<wikicategory_Arabic-speaking_countries_and_territories>,Arabic-speaking territory,geography,27
<wikicategory_Near_Eastern_countries>,Near Eastern country,geography,9
<wikicategory_Ethnic_groups_in_Europe>,European ethnic group,geography,331
<wikicategory_Deserts_of_Africa>,One of Africa's deserts,geography,5
<wikicategory_Southeast_Asian_countries>,Southeast Asian country,geography,11
<wikicategory_States_of_the_United_States>,State of the United States,geography,61
<wikicategory_Israeli_film_actors>,Israeli film actor,Israel / Cinema & TV,100
<wikicategory_Israeli_television_actors>,Israeli television actor,Israel / Cinema & TV,75
<wikicategory_Israeli_film_directors>,Israeli film director,Israel / Cinema & TV,85
<wikicategory_Software_companies_of_Israel>,Israeli software company,Israel / general knowladge,95
<wikicategory_Hebrew_Bible_cities>,City from the Hebrew Bible,Israel / geography,71
<wikicategory_Cities_in_Israel>,City in Israel,Israel / geography,54
<wikicategory_Cities_in_the_West_Bank>,City in the West Bank,Israel / geography,24
<wikicategory_Neighbourhoods_of_Jerusalem>,Neighbourhood in Jerusalem,Israel / geography,99
<wikicategory_Israeli_settlements>,Israeli settlement,Israel / geography,86
<wikicategory_Research_institutes_in_Israel>,Research institution in Israel,Israel / geography,26
<wikicategory_Israeli_composers>,Israeli composer,Israel / music,112
<wikicategory_Israeli_female_singers>,Israeli female singer,Israel / music,84
<wikicategory_Israeli_male_singers>,Israeli male singer,Israel / music,104
<wikicategory_Israeli_musicians>,Israeli musician,Israel / music,86
<wikicategory_Israeli_pop_singers>,Israeli pop singer,Israel / music,42
<wikicategory_Israeli_record_producers>,Israeli records producer,Israel / music,13
<wikicategory_Israeli_rock_guitarists>,Israeli rock guitarist,Israel / music,9
<wikicategory_Israeli_rock_singers>,Israeli rock singer,Israel / music,16
<wikicategory_Assassinated_Israeli_politicians>,Assassinated Israeli politician,Israel / personalities,5
<wikicategory_Israeli_children's_writers>,Israeli children's writer,Israel / personalities,37
<wikicategory_Israeli_female_models>,Israeli female model,Israel / personalities,36
<wikicategory_Israeli_journalists>,Israeli journalist,Israel / personalities,181
<wikicategory_Israeli_male_models>,Israeli male model,Israel / personalities,11
<wikicategory_Israeli_Nobel_laureates>,Israeli Nobel laureate,Israel / personalities,10
<wikicategory_Israeli_non-fiction_writers>,Israeli non-fiction writer,Israel / personalities,61
<wikicategory_Israeli_novelists>,Israeli novelist,Israel / personalities,83
<wikicategory_Israeli_party_leaders>,Israeli party leader,Israel / personalities,94
<wikicategory_Israeli_people_of_Iraqi_origin>,Israeli personality of Iraqi origin,Israel / personalities,24
<wikicategory_Israeli_people_of_Polish_origin>,Israeli personality of Polish origin,Israel / personalities,53
<wikicategory_Israeli_people_of_Yemeni_origin>,Israeli personality of Yemeni origin,Israel / personalities,21
<wikicategory_Israeli_science_fiction_writers>,Israeli science fiction writer,Israel / personalities,6
<wikicategory_Israeli_short_story_writers>,Israeli short story writer,Israel / personalities,26
<wikicategory_Israeli_stage_actors>,Israeli stage actor,Israel / personalities,46
<wikicategory_Israeli_comedians>,Israeli comedian,Israel / personalities,20
<wikicategory_LGBT_people_from_Israel>,LGBT personality from Israel,Israel / personalities,28
<wikicategory_Palmach_fighters>,Palmach fighter,Israel / personalities,54
<wikicategory_Kokhav_Nolad_contestants>,Participated in Kokhav Nolad,Israel / personalities,9
<wikicategory_Rokdim_Im_Kokhavim_participants>,Participated in Rokdim Im Kokhavim ,Israel / personalities,22
<wikicategory_Israeli_mathematicians>,Israeli mathematician,Israel / personalities,86
<wikicategory_Prime_Ministers_of_Israel>,Prime Minister of Israel,Israel / personalities,15
<wikicategory_Signatories_of_the_Israeli_Declaration_of_Independence>,Signatory of the Israeli Declaration of Independence,Israel / personalities,37
<wikicategory_Beitar_Jerusalem_F.C._players>,Beitar Jerusalem F.C. player,Israel / sports,142
<wikicategory_Football_clubs_in_Israel>,Football Club in Israel,Israel / sports,61
<wikicategory_Israel_international_footballers>,Israel international footballer,Israel / sports,173
<wikicategory_Olympic_bronze_medalists_for_Israel>,Israeli athlete who won an Olympic bronze medal,Israel / sports,5
<wikicategory_Olympic_swimmers_of_Israel>,Israeli olympic swimmer,Israel / sports,18
<wikicategory_Maccabi_Petah_Tikva_F.C._players>,Maccabi Petah Tikva F.C. player,Israel / sports,96
<wikicategory_Maccabi_Haifa_F.C._players>,Maccabi Haifa F.C. player,Israel / sports,200
<wikicategory_Maccabi_Tel_Aviv_F.C._players>,Maccabi Tel Aviv F.C. player,Israel / sports,181
<wikicategory_Hapoel_Tel_Aviv_F.C._players>,Maccabi Hapoel F.C. player,Israel / sports,147
<wikicategory_Bnei_Sakhnin_F.C._players>,Bnei Sakhnin F.C. player,Israel / sports,74
<wikicategory_Maccabiah_Games_gold_medalists>,Won a gold medal of the Maccabiah Games,Israel / sports,43
<wikicategory_African_American_rappers>,African American rapper,music,791
<wikicategory_Alternative_rock_groups_from_California>,Alternative rock group from California,music,181
<wikicategory_Alternative_rock_groups_from_New_York>,Alternative rock group from New York,music,61
<wikicategory_American_folk_rock_musicians>,American folk rock musician,music,51
<wikicategory_American_pop_singers>,American pop singer,music,869
<wikicategory_American_rock_guitarists>,American rock guitarist,music,1431
<wikicategory_American_soul_singers>,American soul singer,music,393
<wikicategory_British_alternative_rock_groups>,British alternative rock group,music,67
<wikicategory_English_New_Wave_musicians>,English New Wave musician,music,91
<wikicategory_English_rock_singers>,English rock singer,music,226
<wikicategory_Female_rock_singers>,Female rock singer,music,372
<wikicategory_Hip_hop_singers>,Hip hop singer,music,156
<wikicategory_Lead_guitarists>,Lead guitarist,music,438
<wikicategory_Murdered_musicians>,Musician who was murdered ,music,45
<wikicategory_Synthpop_groups>,Synthpop group,music,126
<wikicategory_20th-century_mathematicians>,20th-century mathematician,personalities,1809
<wikicategory_Assassinated_United_States_Presidents>,Assassinated United States President,personalities,4
<wikicategory_English_novelists>,English novelist,personalities,1202
<wikicategory_English_science_fiction_writers>,English science fiction writer,personalities,202
<wikicategory_German_philosophers>,German philosopher,personalities,478
<wikicategory_Jewish_American_scientists>,Jewish American scientist,personalities,294
<wikicategory_Jewish_philosophers>,Jewish philosopher,personalities,216
<wikicategory_Jewish_poets>,Jewish poet,personalities,276
<wikicategory_Jewish_politicians>,Jewish politician,personalities,166
<wikicategory_Nobel_Peace_Prize_laureates>,Nobel Peace Prize laureate,personalities,105
<wikicategory_Nonviolence_advocates>,Advocate of Nonviolence,personalities,187
<wikicategory_The_Voice_judges>,One of the Voice judges,personalities,31
<wikicategory_The_X_Factor_judges>,One of the X Factor judges,personalities,100
<wikicategory_Philosophers_of_mind>,Philosopher of mind,personalities,135
<wikicategory_Presidents_of_the_United_States>,President of the United States,personalities,53
<wikicategory_2010_FIFA_World_Cup_players>,2010 FIFA World Cup player,sports,726
<wikicategory_Premier_League_clubs>,Premier League football club,sports,45
<wikicategory_A.C._Milan_players>,A.C. Milan player,sports,594
<wikicategory_Basketball_players_from_New_York>,Basketball player from New York,sports,380
<wikicategory_Boston_Celtics_players>,Boston Celtics player,sports,369
<wikicategory_Chelsea_F.C._players>,Chelsea F.C. player,sports,589
<wikicategory_Chicago_Bulls_players>,Chicago Bulls player,sports,296
<wikicategory_FC_Barcelona_footballers>,FC Barcelona football player,sports,370
<wikicategory_Los_Angeles_Lakers_players>,Los Angeles Lakers player,sports,288
<wikicategory_Manchester_United_F.C._players>,Manchester United F.C. player,sports,944
<wikicategory_NBA_Slam_Dunk_Contest_champions>,NBA Slam Dunk Contest champion,sports,19
<wikicategory_UEFA_Euro_2008_players>,UEFA Euro 2008 player,sports,363
